,INTERACTOR_A,INTERACTOR_B
250,SP1,PLEC
251,POLE2,POLE
252,POLE2,POLE
253,POLE3,POLE
254,POLD4,POLE
255,POLE,GINS4
256,ISG15,AHNAK
257,ISG15,PLEC
258,FBXO25,MSH6
259,POT1,AHNAK
260,CUL3,PLEC
261,CUL3,TMTC2
262,CUL3,MSH6
263,CUL3,BCLAF1
264,CDK2,AHNAK
265,CDK2,PLEC
266,CAND1,BCLAF1
267,ANK1,KCTD6
268,ANK1,KCTD6
269,OBSCN,ANK1
270,CUL3,ANK1
271,SLX4,MSH6
272,LNX1,INSC
273,Mdm2,POLE
274,ATN1,HSPG2
275,GFI1B,HSPG2
276,LRRK2,PLEC
277,GRK5,BCLAF1
278,HUS1,MSH6
279,RAD1,MSH6
280,RAD9A,MSH6
281,HUS1,MSH6
282,RAD1,MSH6
283,RAD9A,MSH6
284,GRB2,HSPG2
285,GRB2,AHNAK
286,MUTYH,MSH6
287,MUTYH,MSH6
288,CDK5RAP2,TUBGCP6
289,CDK5RAP2,TUBGCP5
290,CDK5RAP2,TUBGCP2
291,CDK5RAP2,TUBGCP3
292,CDK5RAP2,NME7
293,CDK5RAP2,MZT2A
294,CDK5RAP2,MZT2B
295,CDK5RAP2,TUBG1
296,CDK5RAP2,TUBGCP5
297,CDK5RAP2,TUBG1
298,ROR2,MAP3K7
299,MAP3K7,ROR2
300,ROR2,DAZAP2
301,ROR2,WNT1
302,EGFR,BCLAF1
303,MAP1LC3A,FYCO1
304,MAP1LC3B,FYCO1
305,RAD23A,SZT2
306,MSH6,MLH1
307,MSH6,PMS2
308,MLH1,MSH6
309,FYCO1,APP
310,PLCD1,APP
311,MSH2,MSH6
312,MED13,MED29
313,MED13,MED24
314,MED13,MED4
315,MED13,MED14
316,MED13,MED16
317,POLE,POLE3
318,POLE,POLE2
319,MED13,MED21
320,MSH6,PCNA
321,POLE,PRIM1
322,ITGB4,PLEC
323,MSH3,MSH6
324,RIF1,TOR1AIP1
325,PITRM1,RIF1
326,RIF1,SUCLG1
327,JUP,PLEC
328,RIF1,TMED9
329,HPDL,RIF1
330,AHNAK,HNRNPD
331,PPT1,RIF1
332,PRDX2,RIF1
333,PHKB,RAVER1
334,NOMO1,PLEC
335,RIF1,MRPL50
336,MTDH,PLEC
337,MSH6,SUPT16H
338,AHNAK2,KRT10
339,PLEC,TRA2A
340,HNRNPL,PLEC
341,GNAI2,PLEC
342,PLEC,SLTM
343,PLEC,UQCRC1
344,ESR1,BCLAF1
345,ESR1,AHNAK
346,ESR1,PLEC
347,DMD,AHNAK
348,BARD1,BCLAF1
349,BRCA1,USH2A
350,PAXIP1,PLCD1
351,PAXIP1,BCLAF1
352,NOTCH1,RIF1
353,TSGA10,PLEC
354,PPP1CC,RIF1
355,FBXW7,MED13
356,FBXW7,MED13
357,FBXW7,MED13
358,MED1,MED13
359,CDK8,MED13
360,SMURF1,BCLAF1
361,AHNAK,FMNL1
362,FMNL1,AHNAK
363,FMNL1,AHNAK
364,FMNL1,PLEC
365,VCP,BCLAF1
366,VCP,PLEC
367,VCP,RIF1
368,BCAR1,MMP14
369,MSH2,MSH6
