,INTERACTOR_A,INTERACTOR_B
251,FUS,FASN
252,RAPGEF2,HMCN1
253,ALAS1,PPL
254,CST2,ADAMTSL4
255,FAH,ADAMTSL4
256,FKBP1B,ADAMTSL4
257,FLNA,ADAMTSL4
258,GATA2,ADAMTSL4
259,GIP,ADAMTSL4
260,HGF,ADAMTSL4
261,HOXA1,ADAMTSL4
262,KRTAP5-9,ADAMTSL4
263,KRT31,NAV1
264,LMO1,ADAMTSL4
265,LMO2,ADAMTSL4
266,NTF4,ADAMTSL4
267,PIN1,ADAMTSL4
268,PPL,TRIM27
269,PPL,TRAF2
270,PPL,VIM
271,PPL,AHCYL1
272,PPL,RALBP1
273,PPL,TSC22D4
274,PPL,RAB3IP
275,PPL,ZSCAN1
276,PPL,CEP57L1
277,PTGER3,ADAMTSL4
278,SMARCC1,ADAMTSL4
279,SPINK2,ADAMTSL4
280,TCEA2,ADAMTSL4
281,TMSB4XP6,ADAMTSL4
282,TRIP6,ADAMTSL4
283,TOP3B,ADAMTSL4
284,EIF4E2,ADAMTSL4
285,CREB5,ADAMTSL4
286,SUSD6,ADAMTSL4
287,AMMECR1,ADAMTSL4
288,SLC23A1,ADAMTSL4
289,GNE,ADAMTSL4
290,FARS2,ADAMTSL4
291,FRS3,ADAMTSL4
292,MID2,ADAMTSL4
293,MAPKBP1,ADAMTSL4
294,DIP2A,ADAMTSL4
295,RCHY1,ADAMTSL4
296,LRRC29,ADAMTSL4
297,CPNE7,ADAMTSL4
298,GNMT,ADAMTSL4
299,CYP2S1,ADAMTSL4
300,CHCHD2,ADAMTSL4
301,FBXW5,ADAMTSL4
302,ADAMTSL4,SLC6A20
303,ADAMTSL4,PID1
304,ADAMTSL4,TAPBPL
305,ADAMTSL4,C19orf66
306,ADAMTSL4,LGALS14
307,ADAMTSL4,NMUR2
308,ADAMTSL4,RHOJ
309,ADAMTSL4,CXCL16
310,ADAMTSL4,GMCL1P1
311,ADAMTSL4,ASPSCR1
312,ADAMTSL4,FAM124B
313,ADAMTSL4,APOL6
314,ADAMTSL4,TSSK3
315,ADAMTSL4,KRTAP4-12
316,ADAMTSL4,KRTAP9-2
317,ADAMTSL4,DSCR8
318,ADAMTSL4,ZNF587
319,ADAMTSL4,RAB2B
320,ADAMTSL4,KRTAP9-4
321,ADAMTSL4,KRTAP4-2
322,ADAMTSL4,LONRF1
323,ADAMTSL4,OLFM3
324,ADAMTSL4,TMEM150A
325,ADAMTSL4,CCDC26
326,ADAMTSL4,SPATA8
327,ADAMTSL4,ZNF417
328,ADAMTSL4,C6orf165
329,ADAMTSL4,LCE4A
330,ADAMTSL4,NATD1
331,ADAMTSL4,MORN3
332,ADAMTSL4,TRIM42
333,ADAMTSL4,ADAMTSL5
334,ADAMTSL4,CLEC18A
335,ADAMTSL4,LCE1B
336,ADAMTSL4,LCE2D
337,ADAMTSL4,LCE3C
338,ADAMTSL4,LCE3E
339,ADAMTSL4,KRTAP10-9
340,ADAMTSL4,KRTAP10-1
341,ADAMTSL4,KRTAP10-11
342,ADAMTSL4,KRTAP10-5
343,ADAMTSL4,KRTAP10-8
344,ADAMTSL4,KRTAP10-3
345,ADAMTSL4,LINC00671
346,ADAMTSL4,GOLGA8EP
347,ADAMTSL4,KRTAP5-6
348,ADAMTSL4,KRTAP4-11
349,GCC1,NAV1
350,ENO1,FAT4
351,SHMT2,FAT4
352,MOV10,OBSCN
353,NXF1,OBSCN
354,NXF1,FAT4
355,OBSCN,BRCA1
356,CUL7,FASN
357,OBSL1,FASN
358,CCDC8,FASN
359,EED,FASN
360,FASN,USP2
361,USP2,FASN
362,ILK,FASN
363,TEX35,HEPHL1
364,COASY,HEPHL1
365,VTI1B,HEPHL1
366,SUSD3,PPL
367,PMM1,HEPHL1
368,EFNB2,SBF1
369,TAZ,LRP5
370,NXPH2,FAT4
371,RASD2,LRP5
372,DKK1,LRP5
373,CDCA8,MYH4
374,SIX1,MYH4
375,SUSD4,LRP5
376,CEACAM21,FAT4
377,TGFBR2,SBF1
378,PARP16,LRP5
379,RAB11B,HEPHL1
380,DDX19B,PPL
381,OR51E2,HEPHL1
382,DTNBP1,NAV1
383,POMK,LRP5
384,SKAP1,SBF1
385,KIR3DS1,PPL
386,TFG,HEPHL1
387,TSC22D4,IFT172
388,B3GALT2,LRP5
389,IFT57,IFT172
390,RCC1,NAV1
391,UGT1A10,PPL
392,CORO1A,IFT172
393,DOLPP1,HEPHL1
394,ETV6,LRP5
395,SGOL2,HEPHL1
396,DDX39A,FAT4
397,GFOD1,SBF1
398,TMEM260,MYH4
399,FASN,PTGR2
400,FASN,KIF3A
401,FASN,IMPDH1
402,FASN,HAUS4
403,ZSCAN20,PPL
404,LACC1,HEPHL1
405,CHST9,LRP5
406,APIP,HEPHL1
407,LIPH,LRP5
408,PYHIN1,HEPHL1
409,TINAGL1,HSPG2
410,RBM24,PPL
411,C1orf186,SBF1
412,C2orf48,FAT4
413,AURKC,MYH4
414,TEAD3,FASN
415,YAP1,FASN
416,HNRNPA1,PPL
417,HSPB1,SBF1
418,FBXW11,SBF1
419,FBXW11,NAV1
420,FASN,ABCC1
421,MYH4,ACTN2
422,FASN,AHSA1
423,FASN,ASNS
424,FASN,CARM1
425,HMCN1,CLP1
426,CCT6A,FASN
427,CCT6B,FASN
428,CYP27A1,FASN
429,HSD17B12,FASN
430,PC,FASN
431,PEF1,FASN
432,PIK3C2B,FASN
433,FASN,GFPT1
434,FASN,GFPT2
435,FASN,HSPBP1
436,PCK2,HSPE1
437,PSAT1,HSPG2
438,FASN,MTCH1
439,TPM1,MYH4
440,NAV1,PPA1
441,NAV1,PPA2
442,PCK2,PPIA
443,DROSHA,PPL
444,P4HA2,PPL
445,PSMA1,PPL
446,PSMA5,PPL
447,PSMB4,PPL
448,PPL,PSMB6
449,FASN,TARBP1
450,PCK2,UBE2L3
451,NTRK1,PCK2
452,NTRK1,SBF1
453,NTRK1,FASN
454,Hoxa1,ADAMTSL4
455,ADAMTSL4,Hoxa1
456,AKT1,FASN
457,PTEN,FASN
458,PTEN,PPL
459,NUP35,PDZD2
460,gag,FASN
461,MED4,NAV1
462,LCA5,IFT172
463,PCM1,IFT172
464,PCM1,NAV1
465,FGFR1OP,NAV1
466,CEP128,NAV1
467,CEP135,NAV1
468,CEP89,NAV1
469,NATD1,ADAMTSL4
470,CYP2S1,ADAMTSL4
471,OTX1,ADAMTSL4
472,AHSA1,FASN
473,PDZD2,PTOV1
474,PDZD2,DDX24
475,PDZD2,PRPF40A
476,HNRNPH2,LYST
477,LLGL2,LYST
478,MLH1,LYST
479,PPIA,LYST
480,TACC1,LYST
481,DAP3,LYST
482,MYH13,LYST
483,SAP30,LYST
484,KIF1C,LYST
485,GAR1,LYST
486,KLC3,LYST
487,HSPA5,FASN
488,KIF11,FASN
489,DNAJC7,FASN
490,PCK2,HSPD1
491,ADD1,HSPG2
492,TMPO,HSPG2
493,PTTG1,HSPG2
494,CCDC22,HSPG2
495,GAR1,HSPG2
496,KIF7,HSPG2
497,LDHD,MYH4
498,RBM4,PPL
499,SYNPO,PPL
500,FYCO1,PPL
501,VWA9,PPL
502,PCK2,PRCC
503,PCK2,TSG101
504,PCK2,PROSC
505,PCK2,CWC15
506,PCK2,MUC13
507,HNRNPD,OBSCN
508,HSF2,OBSCN
509,PCNA,OBSCN
510,RPA1,OBSCN
511,KIAA1107,OBSCN
512,C10orf12,OBSCN
513,VPS18,OBSCN
514,CDCA5,OBSCN
515,RNF41,NAV1
516,Vamp2,LYST
517,Dync1li1,LYST
518,Tnpo1,LYST
519,Ccdc9,LYST
520,Cep85l,LYST
521,Tubg1,FASN
522,Bag2,FASN
523,Id2,HSPG2
524,Espn,HSPG2
525,Shoc2,HSPG2
526,Pxdc1,HSPG2
527,Vps28,HSPG2
528,Heatr2,HSPG2
529,Kif13b,MYH4
530,Rhoa,PPL
531,Anxa2,PPL
532,Cct3,PPL
533,Evpl,PPL
534,Mis12,PPL
535,Trip11,PPL
536,Mtmr2,SBF1
537,Smc3,OBSCN
538,Vps28,OBSCN
539,Chmp4b,OBSCN
540,Actr1b,OBSCN
541,Setd2,OBSCN
542,Kif1b,NAV1
543,Cenpe,NAV1
544,IRF3,FASN
545,FOXI1,FASN
546,FOXI2,FASN
547,SKI,HSPG2
548,CRY1,FASN
549,CRY2,FASN
550,FOXL1,FASN
551,MCM2,FASN
552,MCM2,HSPG2
553,MCM2,HMCN1
554,MCM2,MYH4
555,SNW1,FASN
556,CDC5L,FASN
557,ERBB3,MASP1
558,CDC37,MASP1
559,CHRNG,ADAMTSL4
560,ZNF746,FASN
561,CDH1,FASN
562,CDH1,PPL
563,EGFR,TNC
564,MTMR2,SBF1
565,SBF1,COL1A2
566,SBF1,MTMR1
567,SBF1,MTMR2
568,SBF1,PRKACA
