,INTERACTOR_A,INTERACTOR_B
233,SPTAN1,PIN4
234,ASAH1,SETDB1
235,ASAH1,TSC22D1
236,DCTN2,GNAO1
237,DDX24,SPTAN1
238,DNM1,MED31
239,FOXG1,EEF1G
240,FOXG1,GDF9
241,ST3GAL3,RPL8
242,SLC2A1,COPS6
243,SPTAN1,TSSC4
244,SYN1,KAT5
245,SYN1,SYN1
246,SYN1,VIM
247,ZEB2,COPS6
248,DNM1,KIAA1377
249,HDAC4,Ncor2
250,SPTAN1,DES
251,CHRNA7,FYN
252,FYN,CHRNA7
253,FER,DNM1
254,STX1A,STXBP1
255,PTPRE,KCNB1
256,PTPRE,KCNB1
257,RELN,VLDLR
258,CACNG2,GRIN1
259,MEF2C,SP1
260,SP1,MEF2C
261,GRB2,SYN1
262,STX5,GOSR2
263,GOSR2,STX5
264,STXBP1,Apba1
265,STXBP1,Apba2
266,STXBP1,Dlg4
267,STXBP1,Stx5
268,FYN,GRIN2A
269,USO1,GOSR2
270,STX5,GOSR2
271,SLC9A3R1,PLCB1
272,PIGT,GPAA1
273,GRIN2B,DLG4
274,GRIN2B,DLG2
275,GRIN2B,DLG1
276,GRIN2B,DLG3
277,NDEL1,DYNC1H1
278,NCK1,DNM1
279,NCK1,DNM1
280,NRXN1,Sytl1
281,COL4A1,NID1
282,COL4A1,Nid1
283,COL4A1,NID2
284,PAFAH1B1,DYNC1H1
285,DYNC1H1,PAFAH1B1
286,PAFAH1B1,DYNC1H1
287,SMAD1,FOXG1
288,GNAO1,CACNA1B
289,SH3GL2,DNM1
290,DNM1,AMPH
291,DNM1,SH3GL2
292,AMPH,DNM1
293,AMPH,DNM1
294,TP53,WWOX
295,MAP3K5,QARS
296,CASK,DLG4
297,CASK,DLG1
298,DLG4,CASK
299,SYNGAP1,DLG4
300,SYNGAP1,DLG3
301,DLG3,SYNGAP1
302,ATP2B4,CASK
303,ATP2B4,CASK
304,KCNB1,KCNB1
305,KCNB1,KCNG3
306,KCNB1,KCNH1
307,KCNB1,KCNV2
308,KCNC1,KCNG3
309,KCNC1,KCNH1
310,KCNC1,KCNV2
311,KCNB1,KCNG3
312,KCNB1,KCNH1
313,KCNB1,KCNV2
314,GRIN3B,GRIN2A
315,GRIN3B,GRIN1
316,PTPN4,GRIN2A
317,ERBB2IP,GRIN2B
318,PTK2B,KCNA2
319,PDIA3,SLC2A1
320,PIGP,PIGA
321,RGS19,GNAO1
322,COL4A2,COL4A1
323,COL4A1,COL4A1
324,STOM,SLC2A1
325,MEF2C,SOX18
326,SOX18,MEF2C
327,BICD2,DYNC1H1
328,SMAD2,MEF2C
329,F11r,CASK
330,F11R,CASK
331,RELN,RELN
332,STX1A,STXBP1
333,TEAD1,MEF2C
334,MEF2C,TEAD1
335,PARK2,CASK
336,PARK2,CASK
337,PARK2,CASK
338,PARK2,GRIN2B
339,KCNA3,KCNA1
340,KCNA3,KCNA2
341,KCNA2,KCNA1
342,KCNA2,KCNA4
343,KCNA1,KCNA2
344,KCNA1,KCNA4
345,KCNA4,KCNA2
346,KCNA4,KCNA1
347,KCNA2,KCNAB2
348,GRIN2A,FYN
349,GRIN2A,DLG4
350,DLG4,GRIN2A
351,FYN,GRIN2A
352,STXBP1,STX1A
353,STXBP1,STX1B
354,STX1B,VAMP1
355,STX1B,VAMP2
356,GRIN2A,DLG4
357,GRIN2A,DLG3
358,GRIN2A,DLG2
359,GRIN2B,DLG4
360,GRIN2B,DLG3
361,GRIN2B,DLG2
362,DLG4,GRIN2A
