,GENE,INTERACTORS
12,ADAMTSL4,"COL8A1,PP1396,PP1396,RP5-895C5.2,PP1396,PRKAB2,CPNE7,PP1396,PP1396,ZNF417,DNPEP,PP1396,PP1396,tcag7.1300,PP1396,SPATA8,PP1396,RP6-191P20.2,CLEC18A,PP1396,PP1396,SLC23A1,C19orf66,PP1396,CST2,PP1396,PP1396,UNQ3095/PRO21341,LCE1B,PP1396,LINC00671,PP1396,LMO2,PP1396,PLSCR1,PP1396,GIP,PP1396,GOLGA8EP,PP1396,PP1396,SUSD6,PP1396,SPRY2,PP1396,RP11-298J23.2,DSCR8,PP1396,MVP,PP1396,PP1396,SPINK2,MAPKBP1,PP1396,PP1396,hCG_2005471,PP1396,TSSK3,NATD1,PP1396,ASPSCR1,PP1396,HMFN2073,PP1396,PP1396,SLC6A20,PP1396,RP5-952N6.2,ADAMTSL5,PP1396,PP1396,TAPBPL,Hoxa1,PP1396,LCE2D,PP1396,CREB5,PP1396,LCE3C,PP1396,PP1396,TUBGCP4,FAH,PP1396,PP1396,RP13-360B22.1,LGALS14,PP1396,PP1396,RCHY1,PP1396,RAB2B,LCE4A,PP1396,LONRF1,PP1396,KRTAP10-5,PP1396,GMCL1P1,PP1396,FAM124B,PP1396,KRTAP9-4,PP1396,LCE3E,PP1396,KRTAP5-9,PP1396,EIF4E2,PP1396,LRRC29,PP1396,KRTAP9-2,PP1396,ARNT2,PP1396,GNMT,PP1396,PP1396,RP1-236A3.1,NTN4,PP1396,PP1396,RP3-330O12.3,KRTAP5-6,PP1396,AAG10,PP1396,AQP1,PP1396,PP1396,SORBS3,NTF4,PP1396,PP1396,RHOJ,PP1396,TRIM42,CTA-941F9.7,PP1396,FHL3,PP1396,HOXA1,PP1396,KRTAP10-9,PP1396,MORN3,PP1396,PP1396,TOP3B,CCDC26,PP1396,PP1396,SALL2,KRTAP10-3,PP1396,GATA2,PP1396,KRTAP4-2,PP1396,PP1396,PP3971,PP1396,RP11-299N6.2,PP1396,XX-FW83128A1.1,GNE,PP1396,KRTAP10-1,PP1396,KRTAP4-12,PP1396,PIN1,PP1396,PP1396,ZNF587,NMUR2,PP1396,PP1396,RP11-556K13.2,PP1396,STK16,PP1396,TMSB4XP6,DIP2A,PP1396,DGCR6,PP1396,PP1396,UNQ891/PRO1906,CATSPER1,PP1396,HUSSY-22,PP1396,PP1396,SMARCC1,OTX1,PP1396,FKBP1B,PP1396,KRTAP10-8,PP1396,KRTAP10-11,PP1396,HGF,PP1396,C6orf165,PP1396,PP1396,TMEM150A,PP1396,UNQ2759/PRO6714,LMO1,PP1396,KIF1A,PP1396"
13,LRP5,"DKK4,LRP5,LIPH,LRP5,LRP5,UNQ492/PRO1008,B3GALT2,LRP5,LRP5,PRED44,LRP5,XX-FW83563B9.3,LRP5,UNQ2976/PRO7455/PRO7476,FZD8,LRP5,LRP5,RP11-445K1.1,FCGRT,LRP5,LRP5,MGAT4C,LRP5,RASD2,LRP5,UNQ735/PRO1429,LRP5,PRSS37,LRP5,RP6-88D7.1,LRP5,UNQ2549/PRO6175,LRP5,ST8SIA4,C4orf26,LRP5,LRP5,UNQ293/PRO332,LRP5,SCGB1D1,LRP5,RP5-964F7.2,ETV6,LRP5,CAPRIN2,LRP5,LRP5,TGIF2LY,LRP5,SERPINA12,LRP5,RP11-239E10.4,CSNK1A1,LRP5,LRP5,UNQ292/PRO331,LA16c-314G4.3,LRP5,LRP5,POMK,LRP5,NXPH2,LRP5,PARP16,LRP5,RP11-421P11.9,CLPSL1,LRP5"
14,HEPHL1,"HEPHL1,hCG_2044604,HEPHL1,RP5-990P15.1,HEPHL1,RAB11B,CGI-29,HEPHL1,HEPHL1,ZMAT4,HEPHL1,HSPC262,HEPHL1,RP11-520H16.1,GPBP1,HEPHL1,HEPHL1,NSMAF,HEPHL1,SGOL2,HEPHL1,RP3-343K2.2,HEPHL1,PMM1,FBXL4,HEPHL1,HEPHL1,RP11-98D18.13-004,HEPHL1,SETDB2,HEPHL1,SEMG2,HEPHL1,Nbla11589,HEPHL1,KIF3A,HEPHL1,TFG,HEPHL1,PSEC0106,HEPHL1,UNQ6368/PRO21073/PRO21384,HEPHL1,RP11-5G9.2,HEPHL1,TBC1D14,HEPHL1,VTI1B,HEPHL1,RP11-167N5.4"
15,PCK2,"PCK2,UBE2L3,PCK2,TSG101,MUC5B,PCK2,IGHA1,PCK2,AHNAK,PCK2,COQ2,PCK2,PCK2,RP11-181E22.3,PCK2,RP11-66D17.11-004,PCK2,RP11-481L19.1,OK/SW-cl.121,PCK2,PCK2,RP5-1187J4.9,HSPD1,PCK2,GAP43,PCK2,PCK2,UNQ773/PRO1567,LACRT,PCK2,PCK2,ZMYM3,PCK2,PIGR,NTRK1,PCK2,PCK2,RP11-264J4.7,PCK2,RP11-318L16.1,PCK1,PCK2,APP,PCK2,AHNAK2,PCK2,PCK2,RP11-47A8.1,PCK2,RP1-85F18.1,NDUFS6,PCK2,IGHA2,PCK2,PAG1,PCK2,PCK2,UNQ787/PRO1606,PCK2,PPIA,AD-002,PCK2,PCK2,UNQ6194/PRO20221,BBS2,PCK2,PCK2,SMAD3,HSPE1,PCK2,PCK2,PROSC"
16,RYR3,"RP4-626J7.1,RYR3,RYR3,tcag7.78,CUL1,RYR3,HNF1A,RYR3,FKBP1B,RYR3,RP11-573G6.1,RYR3,RP11-314N13.2,RYR3"
17,DUOX2,
18,ZNF592,"BRD4,ZNF592,GATAD2A,ZNF592,INTS5,ZNF592,RP11-421P11.9,ZNF592,RP11-258C19.2,ZNF592,RP11-126K1.3,ZNF592,LLGL2,ZNF592,RP4-677H15.3,ZNF592,RP5-890O15.1,ZNF592,ZNF408,ZNF592,UNQ711/PRO1374,ZNF592,SRPK2,ZNF592,CSNK2A2,ZNF592,RP11-216N14.2,ZNF592,RP5-914N13.2,ZNF592,RP4-811H24.2,ZNF592,FAM115A,ZNF592,RP11-24B19.2,ZNF592"
19,PPL,"PPL,RP11-124N14.1,PPL,ZSCAN1,FYCO1,PPL,ACAD9,PPL,PPL,UNQ1888/PRO4333,HNRNPA1,PPL,CUL1,PPL,ITSN1,PPL,OK/SW-cl.84,PPL,DDX19B,PPL,PPL,Rhoa,PPL,TRAF2,PPL,PSMB6,PPL,PSMA5,PPL,RP11-164L23.1,PPL,RP1-21O18.1,PPL,PTEN,PPL,SKIL,DROSHA,PPL,CCNYL1,PPL,AKT1,PPL,DAAP-182E11.3,PPL,KIR3DS1,PPL,PPL,RAB3IP,PPL,UNQ290/PRO330,Cdk1,PPL,PPL,Vim,EZR,PPL,CT009708.1,PPL,AHCYL1,PPL,PPL,RP4-791M13.2,PPL,SYNPO,EVPL,PPL,PPL,Trip11,PPL,RP11-658F2.8,CGI-35,PPL,PPL,RP23-174D24.4,PPL,RP4-744I24.2,DN-393H17.5,PPL,PPL,RP11-487F23.2,PPL,UGT1A10,Cct3,PPL,PPL,RBM24,PPL,TSC22D4,OK/SW-cl.121,PPL,PPL,PSMA1,CDK15,PPL,PPL,RALBP1,PPL,RP11-16H23.2,HSPC206,PPL,PPL,RP4-580O19.1,PPL,UNQ9387/PRO34275,ITSN1,Ppl,CDH1,PPL,KRT8,PPL,PPL,PSMB4,PPL,VWA9,PPL,UBC,PPL,USP7"
20,DNAH3,"ARRB1,DNAH3"
21,CTC1,"APPBP2,RP11-849F2.8,GMNN,RP11-849F2.8,RP11-849F2.8,UNQ1943/PRO4426,NELL2,RP11-849F2.8,Obfc1,RP11-849F2.8,UBC,YOR065W,RP1-240B8.3,RP11-849F2.8,RP11-108L7.8,RP11-849F2.8,RP11-849F2.8,TFAP4,DNAJC7,RP11-849F2.8,RP11-849F2.8,TEN1,Ptpn23,RP11-849F2.8,RP11-849F2.8,RP23-174D24.1,RP11-849F2.8,RP5-1170K4.4,RP11-541N10.2,RP11-849F2.8,CACNG5,RP11-849F2.8,GIG1,RP11-849F2.8"
