,GENE,INTERACTORS
48,Kif7,"Kif7,SF3B1,H2BFS,Kif7,Kif7,MYH10,Kif7,UNQ290/PRO330,Kif7,Shank3,Kif7,RP11-203M2.2,Kif7,Tnik,Kif7,Pde4dip,Kif7,RP11-658F2.8,Kif7,RP5-889J22__B.2,Fxr1,Kif7"
49,Lef1,"Lef1,Smad4,Lef1,RP23-223A11.3,Lef1,Pax3,Esr1,Lef1,Lef1,RP23-202G21.3,Lef1,Smad2,Lef1,hipk2,Lef1,RP23-397E2.1,Hmgb2,Lef1,Lef1,Pias4,LEF1,RP23-170A23.5,Lef1,Tdg,Lef1,Myb,Ctnnb1,Lef1,Kpna1,LEF1,Lef1,RP23-292E3.9,Ctnnb1,Dmel_CG34403,Lef1,Tle4,Lef1,Tcf7l2"
50,Haus2,"HAUS2,Haus4,HAUS7,RP23-158L6.4,HAUS4,RP23-158L6.4,HAUS3,RP23-158L6.4,HAUS2,RP23-95O1.3,HAUS2,Haus1,HAUS8,RP23-158L6.4,RP11-296P7.3,RP23-158L6.4,HAUS1,RP23-158L6.4"
51,Tdrd5,
52,Rab11fip1,"C3orf17,Rab11fip1,Rab11fip1,UTP6,RAB11FIP1,Rab11a,CLK1,Rab11fip1,RAB11B,Rab11fip1,RP3-336K20__B.1,Rab11fip1,CHMP1B,Rab11fip1,NARF,Rab11fip1,LYN,Rab11fip1,PPFIA1,Rab11fip1,Rab11fip1,ZKSCAN1,HDLBP,Rab11fip1,NUP62,Rab11fip1,Klc3,RAB11FIP1"
53,Ccnyl1,
54,Nop14,"RES4-25,RP23-263M10.8,Eed,Nop14,RES4-25,Vps4b,Nanog,Nop14,Fbxo21,RES4-25,Ect2,RES4-25,RES4-25,Spire2,Nop14,RP23-54C14.1"
55,Myo18b,
56,Yjefn3,
57,Cpxm1,
58,Eci3,
59,Mycbpap,
60,Ramp3,
61,Tmem82,
62,Mmachc,
63,M5C1000I18Rik,
64,Tusc3,
65,Gfy,
66,Ces1a,
67,Zfp451,"Ubc,Zfp451"
68,Tra2b,"Fmr1,Tra2b,RP23-42F6.4,Tra2b,RP24-363D14.2,TRA2B,Fancd2,Tra2b,Ddb1,TRA2B,Eed,Tra2b"
69,Dnajb8,
70,Pgap6,
71,Riox1,
72,Uck2,
73,Azin1,
74,Galk2,
75,Prm2,
76,Lrrc37a,
77,Smco3,
78,Capza3,
79,4930556M19Rik,
80,Abcc3,
81,Mxd1,"Max,Mxd1,MXD1,Sin3b,MXD1,Sin3a"
82,Ndufa13,"Fancd2,Ndufa13,Ndufa13,SNCA,Ndufa13,TRAF4,CGI-39,Htt,CGI-39,Kif20a,CGI-39,RP23-445E20.1,Eed,Ndufa13,CGI-39,Ncstn,CGI-39,Cct8,CGI-39,RP23-448C18.8,CGI-39,Tapt1"
83,Itpr3,"Actb,ITPR3,AL583886.1,ITPR3,Calml3,ITPR3,ITPR3,Ktn1,ITPR3,RP23-396M19.2,Itpr3,UBC,Cd2ap,ITPR3,Atp2b1,Itpr3,ITPR3,RP23-136K12.2,Cav1,Itpr3,Itpr3,Trpc4,Itpr3,Ubc,ITPR3,RP23-174D24.4"
84,Epb41l5,"EPB41L5,Kdm5a,Cdk1,EPB41L5,EPB41L5,Timeless,Cdc37,EPB41L5,EPB41L5,RP23-328F3.2,EPB41L5,Ubr5,EPB41L5,RP23-15I21.5,Epb4.1l5,Iqcb1,EPB41L5,Eea1,EPB41L5,RP23-37J21.1,Cdc26,EPB41L5"
85,Far1,"Fancd2,Far1,Far1,RP11-345L8.1,Far1,Ubc,Eed,Far1,RP23-244N6.4,UNQ2423/PRO4981"
86,Akna,
87,Cdc45,"Cdc45,Iqcb1"
88,Il31,
89,Aars2,
90,Ywhaq,"Lnx1,Ywhaq,Nedd4l,Ywhaq,RP11-168K11.4,Ywhaq,Mdm2,YWHAQ,Mad2l1bp,YWHAQ,RP23-362N19.3,Ywhaq,RP23-468K2.1,Ywhaq,Cdkn1b,YWHAQ,Rpgrip1l,Ywhaq,YWHAQ,Yap1,Tcf3,Ywhaq,CALM1,Ywhaq,Fancd2,Ywhaq,RP23-136K12.1,Ywhaq,RP24-486D21.1,Ywhaq,Lrrk2,Ywhaq,Sgol2,YWHAQ,RP23-436K3.6,Ywhaq,Wwtr1,YWHAQ,Mlxipl,YWHAQ,Dlgap1,Ywhaq,RP23-12I13.1,YWHAQ,Cul1,YWHAQ,Shoc2,YWHAQ,RP23-136D4.1,Ywhaq"
91,Prkcd,"Hspb1,Prkcd,Prkcd,RP23-319B15.3,Fbxw7,Prkcd,Marcks,PRKCD,Ocln,PRKCD,Fancd2,Prkcd,Gap43,Prkcd,Ldb3,Prkcd,Prkcd,Slc38a3,Prkcd,Slc1a5"
92,Igsf3,
93,Gm3433,
94,Fem1al,
95,Hgf,"Met,RP23-28I4.1,Gab1,Met,Bin1,SOS1,Grap2,SOS1,Met,Muc20"
96,Gm30400,
97,Limk2,"Pxn,RP23-191E3.16-001,Limk1,RP23-191E3.16-001"
98,Ubr4,"Gorasp1,RP5-1126H10.1,RP5-1126H10.1,Uso1,Mycbp2,Ubr4,RP5-1126H10.1,Wiz,Ubc,Ubr4,Pde4dip,Ubr4,Mgp,RP5-1126H10.1,Nphs2,Ubr4,Eed,Ubr4,Herc2,Ubr4,Copa,RP5-1126H10.1,Fmr1,Ubr4,Chaf1a,Ubr4,Fancd2,Ubr4,RP5-1126H10.1,Ranbp2"
99,Zmynd11,"Rela,Zmynd11,RP11-486H9.1,RP23-261D24.1,RP11-486H9.1,RP23-46N3.2,RP11-486H9.1,RP23-273C14.3"
100,Gbf1,"Gbf1,OK/SW-cl.48,Gbf1,RP11-108L7.3,Gbf1,RP4-633N17.1,Gbf1,RP1-233K16.1,CAMSAP3,Gbf1,Gbf1,OXA1L,Ccser2,GBF1,RP23-375I1.1,RP24-151H6.1,Gbf1,ZNF35,Gbf1,RAD51,Gbf1,NOP9,Gbf1,MRPL3"
101,9230102O04Rik,
102,Pnma8b,
103,Fhdc1,
104,Mkrn1,"MKRN1,Srrt,MKRN1,RP23-372E6.2,L1td1,MKRN1,MKRN1,RP23-374O4.1,MKRN1,Mov10,G3bp2,MKRN1,MKRN1,Syncrip,Atxn2l,MKRN1,Hadha,MKRN1,MKRN1,RP23-273P3.6,Fip1l1,MKRN1,Elavl1,MKRN1,MKRN1,RP23-375B1.1,Hnrnpd,MKRN1,Larp4,MKRN1,Hnrnpa2b1,MKRN1,Hnrnpa1,MKRN1,MKRN1,RP23-79E13.1,Eif4g1,MKRN1,Igf2bp3,MKRN1,Dhx9,MKRN1,MKRN1,RP23-293I3.7,MKRN1,Pabpn1,MKRN1,RP24-363D14.2,Ilf2,MKRN1,MKRN1,Usp10,Fxr1,MKRN1,Fam98a,MKRN1,MKRN1,RP23-266F3.4,Hnrnpf,MKRN1,MKRN1,RP23-395E10.10-001,Cpsf6,MKRN1,Ago2,MKRN1,MKRN1,Upf1,MKRN1,RP24-252K15.1,MKRN1,RP23-158L19.4,MKRN1,RP23-336J1.4,2700060E02Rik,MKRN1,Ddx1,MKRN1,MKRN1,RP23-242K15.3,MKRN1,RP23-314D24.1,MKRN1,Pabpc1,Hnrnpl,MKRN1,MKRN1,Prrc2c,MKRN1,Matr3,MKRN1,Mkrn1,Larp4b,MKRN1"
105,Gfra1,"Gfra1,Nrtn"
106,Spata48,
