,GENE,INTERACTORS
11,NAV2,"FWP006,NAV2,ING5,NAV2,NAV2,TRIO,APC,NAV2,MAPRE1,NAV2,NAV2,RBM15B,JM21,NAV2,My036,NAV2,NAV2,hCG_18099,NAV2,RP11-554P13.1,NAV2,PIAS2,NAV2,RBM15,CDH1,NAV2"
12,ADAMTSL4,"CPNE7,PP1396,LONRF1,PP1396,ARNT2,PP1396,DGCR6,PP1396,GNMT,PP1396,KRTAP5-9,PP1396,PP1396,RP6-191P20.2,PP1396,RAB2B,DSCR8,PP1396,FHL3,PP1396,PP1396,SMARCC1,PP1396,RP5-895C5.2,KRTAP10-8,PP1396,LCE1B,PP1396,LCE3E,PP1396,LGALS14,PP1396,PP1396,SLC23A1,NTF4,PP1396,PP1396,TAPBPL,CLEC18A,PP1396,CTA-941F9.7,PP1396,C19orf66,PP1396,KRTAP10-5,PP1396,CREB5,PP1396,PP1396,PRKAB2,MAPKBP1,PP1396,PP1396,tcag7.1300,PP1396,TSSK3,PP1396,SUSD6,PP1396,SPATA8,HOXA1,PP1396,PP1396,SPINK2,PP1396,SORBS3,OTX1,PP1396,KRTAP9-2,PP1396,KIF1A,PP1396,PP1396,SLC6A20,DNPEP,PP1396,PP1396,STK16,HUSSY-22,PP1396,PIN1,PP1396,PP1396,SPRY2,Hoxa1,PP1396,DIP2A,PP1396,PP1396,RCHY1,ADAMTSL5,PP1396,GMCL1P1,PP1396,LMO1,PP1396,PP1396,XX-FW83128A1.1,MORN3,PP1396,KRTAP5-6,PP1396,COL8A1,PP1396,HGF,PP1396,PP1396,TMEM150A,LINC00671,PP1396,GOLGA8EP,PP1396,PP1396,RP13-360B22.1,CATSPER1,PP1396,EIF4E2,PP1396,PP1396,UNQ3095/PRO21341,AQP1,PP1396,NMUR2,PP1396,PP1396,RP11-556K13.2,FKBP1B,PP1396,HMFN2073,PP1396,GNE,PP1396,PLSCR1,PP1396,PP1396,RHOJ,GATA2,PP1396,C6orf165,PP1396,CCDC26,PP1396,PP1396,RP11-299N6.2,MVP,PP1396,PP1396,ZNF587,KRTAP10-9,PP1396,CST2,PP1396,KRTAP10-11,PP1396,KRTAP4-12,PP1396,PP1396,PP3971,PP1396,UNQ891/PRO1906,ASPSCR1,PP1396,LCE2D,PP1396,PP1396,hCG_2005471,PP1396,RP5-952N6.2,PP1396,RP11-298J23.2,LCE3C,PP1396,PP1396,TRIM42,KRTAP10-1,PP1396,NTN4,PP1396,PP1396,TUBGCP4,PP1396,UNQ2759/PRO6714,FAM124B,PP1396,PP1396,RP1-236A3.1,GIP,PP1396,KRTAP10-3,PP1396,LCE4A,PP1396,PP1396,SALL2,AAG10,PP1396,LRRC29,PP1396,PP1396,RP3-330O12.3,LMO2,PP1396,PP1396,TMSB4XP6,FAH,PP1396,NATD1,PP1396,PP1396,ZNF417,PP1396,TOP3B,KRTAP4-2,PP1396,KRTAP9-4,PP1396"
13,LRP5,"LRP5,RP11-239E10.4,FZD8,LRP5,LRP5,PRED44,ETV6,LRP5,C4orf26,LRP5,LRP5,SCGB1D1,LRP5,UNQ735/PRO1429,B3GALT2,LRP5,LA16c-314G4.3,LRP5,LRP5,UNQ2976/PRO7455/PRO7476,LRP5,ST8SIA4,LRP5,MGAT4C,FCGRT,LRP5,LRP5,PARP16,LRP5,RP6-88D7.1,LRP5,XX-FW83563B9.3,LRP5,SERPINA12,CSNK1A1,LRP5,LRP5,UNQ293/PRO332,LIPH,LRP5,DKK4,LRP5,LRP5,NXPH2,LRP5,RASD2,LRP5,UNQ292/PRO331,LRP5,RP11-421P11.9,CAPRIN2,LRP5,LRP5,RP11-445K1.1,LRP5,TGIF2LY,LRP5,RP5-964F7.2,CLPSL1,LRP5,LRP5,UNQ492/PRO1008,LRP5,UNQ2549/PRO6175,LRP5,PRSS37,LRP5,POMK"
14,HEPHL1,"HEPHL1,NSMAF,HEPHL1,RP3-343K2.2,HEPHL1,TBC1D14,HEPHL1,RP11-167N5.4,HEPHL1,RP5-990P15.1,HEPHL1,PMM1,CGI-29,HEPHL1,HEPHL1,RP11-5G9.2,HEPHL1,PSEC0106,HEPHL1,RAB11B,HEPHL1,SEMG2,HEPHL1,SGOL2,HEPHL1,UNQ6368/PRO21073/PRO21384,FBXL4,HEPHL1,HEPHL1,Nbla11589,HEPHL1,HSPC262,HEPHL1,KIF3A,GPBP1,HEPHL1,HEPHL1,VTI1B,HEPHL1,SETDB2,HEPHL1,ZMAT4,HEPHL1,hCG_2044604,HEPHL1,TFG,HEPHL1,RP11-520H16.1,HEPHL1,RP11-98D18.13-004"
15,PCK2,"PCK2,UNQ787/PRO1606,BBS2,PCK2,PCK2,RP5-1187J4.9,PCK2,UNQ6194/PRO20221,PCK2,RP11-47A8.1,IGHA2,PCK2,PCK2,RP1-85F18.1,AHNAK2,PCK2,NDUFS6,PCK2,HSPD1,PCK2,COQ2,PCK2,APP,PCK2,PCK2,RP11-318L16.1,PAG1,PCK2,PCK2,RP11-66D17.11-004,PCK2,RP11-264J4.7,GAP43,PCK2,PCK2,RP11-181E22.3,PCK2,SMAD3,AHNAK,PCK2,PCK2,UBE2L3,PCK2,PPIA,PCK2,PIGR,HSPE1,PCK2,LACRT,PCK2,PCK2,TSG101,PCK2,PROSC,OK/SW-cl.121,PCK2,PCK2,UNQ773/PRO1567,IGHA1,PCK2,AD-002,PCK2,PCK2,ZMYM3,PCK2,RP11-481L19.1,MUC5B,PCK2,NTRK1,PCK2,PCK1,PCK2"
16,RYR3,"RYR3,tcag7.78,CUL1,RYR3,RP11-573G6.1,RYR3,RP11-314N13.2,RYR3,RP4-626J7.1,RYR3,HNF1A,RYR3,FKBP1B,RYR3"
17,DUOX2,
18,ZNF592,"LLGL2,ZNF592,RP11-126K1.3,ZNF592,RP5-890O15.1,ZNF592,RP11-258C19.2,ZNF592,RP4-677H15.3,ZNF592,FAM115A,ZNF592,SRPK2,ZNF592,UNQ711/PRO1374,ZNF592,RP11-216N14.2,ZNF592,INTS5,ZNF592,GATAD2A,ZNF592,CSNK2A2,ZNF592,RP11-24B19.2,ZNF592,RP5-914N13.2,ZNF592,ZNF408,ZNF592,RP11-421P11.9,ZNF592,BRD4,ZNF592,RP4-811H24.2,ZNF592"
19,PPL,"PPL,Vim,PPL,TSC22D4,PPL,ZSCAN1,HNRNPA1,PPL,PPL,UNQ1888/PRO4333,ACAD9,PPL,PPL,RALBP1,PPL,USP7,PPL,VWA9,DROSHA,PPL,KIR3DS1,PPL,PPL,RBM24,AHCYL1,PPL,CDK15,PPL,PPL,Trip11,PPL,PSMB4,PPL,RP4-580O19.1,ITSN1,Ppl,OK/SW-cl.121,PPL,EZR,PPL,PPL,TRAF2,PPL,UGT1A10,PPL,PSMA5,PPL,UNQ290/PRO330,PPL,SYNPO,PPL,RAB3IP,PPL,RP11-124N14.1,Cct3,PPL,HSPC206,PPL,PPL,UBC,PPL,RP23-174D24.4,PPL,RP1-21O18.1,PPL,SKIL,PPL,Rhoa,PPL,RP11-487F23.2,PPL,PSMB6,CGI-35,PPL,DN-393H17.5,PPL,OK/SW-cl.84,PPL,PPL,RP11-164L23.1,DAAP-182E11.3,PPL,PPL,UNQ9387/PRO34275,CT009708.1,PPL,EVPL,PPL,PPL,RP4-744I24.2,PPL,PSMA1,CUL1,PPL,DDX19B,PPL,PPL,RP4-791M13.2,AKT1,PPL,PPL,RP11-658F2.8,PPL,RP11-16H23.2,PPL,PTEN,KRT8,PPL,ITSN1,PPL,CDH1,PPL,CCNYL1,PPL,Cdk1,PPL,FYCO1,PPL"
20,DNAH3,"ARRB1,DNAH3"
